DP,meanProduct,sdProduct,cvProduct
DP01,1.1422534284070882,0.11767556821174231,10.302054280182372
DP02,2.3771223064754015,0.490604996901467,20.63860978314133
DP03,1.1226542323573896,0.07655264267062796,6.8188976146181695
DP04,11.295621884961433,3.693999578477364,32.70293230508553
DP05,7.281955831562648,0.4086587978139,5.611937332036868
DP06,16.679412293440638,3.363625904609906,20.16633347406784
DP07,15.55737389757505,7.398911520439724,47.558871883853115
DP08,2.8534491358451555,0.786518261939449,27.563773682143882
DP09,3.8111568150341766,1.7683636524290753,46.39965601660024
DP10,11.330849936757723,1.687111079644216,14.889536875527416
DP11,3.497541260174658,1.615397774637496,46.18666813259631
DP12,9.79267601813204,1.3467845496044606,13.752977706101634
DP13,8.614196916780994,1.8153107930603367,21.073476849873234
DP14,11.053682396557816,1.5399884065493255,13.931903878737163
DP15,2.1085388056220187,0.5654921862119372,26.81915005330514
DP16,1.0611959387484606,0.1817121737729899,17.12333859732777
DP17,NA,NA,NA
DP18,9.368851007575735,1.0472123467277448,11.177596333648166
DP19,NA,NA,NA
DP20,NA,NA,NA
DP21,2.8728463671665896,0.525673529461398,18.298003522543237
DP22,2.9793166086486567,0.6170726917681122,20.711887080977302
DP23,2.3950305182778195,0.5194664184686081,21.6893444365017
DP24,4.272482124191528,0.5937562798590372,13.89722092684922
DP25,7.302979965192886,2.7908148133108064,38.21474010078426
DP26,1.3171420478721492,0.3211464787647616,24.38206868299252
DP27,2.987281749478844,0.3314438170134858,11.095164259993517
DP28,3.6569965657471046,0.42960945116046917,11.747603352553389
DP29,1.223733553881133,0.5817355635861845,47.537763571259504
DP30,1.6606422010194177,0.19617319073666556,11.813091984308288
DP31,0.826764577075622,0.07487226334154289,9.056056030650975
DP32,3.5550762607740976,0.2537577417092915,7.137898686146248
DP33,NA,NA,NA
DP34,1.6198637181521238,0.2755436504481079,17.01029829610834
DP35,NA,NA,NA
DP36,1.4250173922238623,0.14352917593420464,10.072099941897202
