DP,meanSNR,sdSNR,cvSNR
DP01,0.20536852733990718,0.019922095613279678,9.700656605628012
DP02,0.28629240871899436,0.04263375655868067,14.89168251070434
DP03,0.20237652429470776,0.02002584181409697,9.895338347117098
DP04,0.5365124684288759,0.14686478843442657,27.37397489838506
DP05,0.6686131765674515,0.02360792563049143,3.5308795066963214
DP06,1.7880965196935281,0.21127525020581253,11.815651329718161
DP07,0.9974194284274821,0.36564453985872647,36.659055301859986
DP08,0.20142594816781323,0.033900555713692514,16.830282305757883
DP09,0.22576377611130222,0.07519112431893113,33.305220887987666
DP10,0.5425738919795848,0.06019202758204352,11.09379357757751
DP11,0.25363727511051276,0.05942123948557588,23.427644639253177
DP12,0.602606676776179,0.13076702723546155,21.700228735439524
DP13,0.5516525930365731,0.09432064905072687,17.097834804244936
DP14,0.28060341857681964,0.07868948558644742,28.042953284585494
DP15,0.16062951558168204,0.04613688615395402,28.722545782996438
DP16,0.08841668398325009,0.012571851151936169,14.218867509572986
DP17,NA,NA,NA
DP18,1.2006569292367997,0.08621382419054195,7.180554419099881
DP19,NA,NA,NA
DP20,NA,NA,NA
DP21,0.22787315610475978,0.02618048343562738,11.489059915241382
DP22,0.33284830603130544,0.03854960379976911,11.581733510803385
DP23,0.2083737408728712,0.017849044788202054,8.565880092872044
DP24,0.3937710341518839,0.05127333930208333,13.0211048693608
DP25,0.403210988400142,0.1506843083950335,37.371081823170975
DP26,0.15318155307100562,0.023192527437273885,15.140548566264533
DP27,0.31500465196311467,0.028867603226135408,9.164183146576404
DP28,0.4930762023720603,0.03477564348845286,7.052792919462826
DP29,0.10680153307962267,0.06422767072594224,60.13740521688881
DP30,0.22801238940505894,0.024015082672711005,10.532358673742392
DP31,0.12544902519352616,0.01234359874872428,9.839533411823814
DP32,0.9957536482791658,0.07369840736382113,7.401269128281348
DP33,NA,NA,NA
DP34,0.2597803163605671,0.0335547373833569,12.91658192331399
DP35,NA,NA,NA
DP36,0.049789253915060804,0.0035698310303512136,7.169882554258102
