SiteID,meanProduct,sdProduct,cvProduct
S01,1.6458086981887083,0.8173649064881952,49.663421234056216
S02,2.3707455574992795,0.6605884764577018,27.864165952693245
S03,7.553389349997804,4.77128962149653,63.16753182460953
S04,7.281955831562648,0.4086587978139,5.611937332036868
S05,12.960073105111967,7.550610650190461,58.26055600884073
S06,11.330849936757723,1.687111079644216,14.889536875527416
S07,7.466859665240299,3.12988664568026,41.91704124627516
S08,11.053682396557816,1.5399884065493255,13.931903878737163
S09,1.619778801081025,0.6830488482952167,42.16926705296775
S10,NA,NA,NA
S11,9.368851007575735,1.0472123467277448,11.177596333648166
S12,NA,NA,NA
S13,NA,NA,NA
S14,5.686714449992162,2.4419888506294516,42.941998795680995
S15,2.987281749478844,0.3314438170134858,11.095164259993517
S16,2.094207765104139,1.2599239333115455,60.162317908743546
S17,NA,NA,NA
S18,1.4250173922238623,0.14352917593420464,10.072099941897202
