SiteID,meanSNR,sdSNR,cvSNR
S01,0.19675510116161427,0.03573232032096206,18.160810118773796
S02,0.2705499736937057,0.05678051948871319,20.987072633389126
S03,0.38113812227008903,0.19609858029674174,51.45079141618345
S04,0.6686131765674515,0.02360792563049143,3.5308795066963214
S05,1.1091074917051023,0.6767702944170625,61.01936011419597
S06,0.5425738919795848,0.06019202758204352,11.09379357757751
S07,0.47867543844676547,0.181299885181335,37.87532649881257
S08,0.28060341857681964,0.07868948558644742,28.042953284585494
S09,0.12693019416908047,0.05022576307704192,39.5695944576729
S10,NA,NA,NA
S11,1.2006569292367997,0.08621382419054195,7.180554419099881
S12,NA,NA,NA
S13,NA,NA,NA
S14,0.39817634613440434,0.1052106524990146,26.423129731443357
S15,0.31500465196311467,0.028867603226135408,9.164183146576404
S16,0.3614895459684275,0.32871124110608935,90.93243353012454
S17,NA,NA,NA
S18,0.049789253915060804,0.0035698310303512136,7.169882554258102
